exercise_id,name,body_part,target_muscle,secondary_muscles,equipment,exercise_type,difficulty_level,instructions,source_dataset
ex_ed3d847e24,Dumbbell spell caster,abdominals,abdominals,unknown,dumbbell,strength,unknown,unknown,gym_exercises
ex_bc73d807ad,Dumbbell suitcase crunch,abdominals,abdominals,unknown,medicine ball,cardio,unknown,unknown,gym_exercises
ex_2b2c10163c,Elbow plank,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_989520c543,Elbow-to-knee crunch,abdominals,abdominals,unknown,bodyweight,cardio,unknown,unknown,gym_exercises
ex_b70bf1f097,Exercise Ball Pull-In,abdominals,abdominals,unknown,exercise ball,strength,unknown,unknown,gym_exercises
ex_642879c513,Exercise ball crunch,abdominals,abdominals,unknown,exercise ball,cardio,unknown,unknown,gym_exercises
ex_dcc5ef13f3,Flat Bench Lying Leg Raise,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_c9020fdbd8,Gorilla Chin/Crunch,abdominals,abdominals,unknown,bodyweight,cardio,unknown,unknown,gym_exercises
ex_847b174885,Hanging Oblique Knee Raise,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_e450fd644f,Hanging leg raise,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_6bfbb03588,Hanging toes-to-bar,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_09f9061a45,Kneeling Cable Crunch With Alternating Oblique Twists,abdominals,abdominals,unknown,cable,cardio,unknown,unknown,gym_exercises
ex_bb0b7f68e4,Kneeling cable crunch,abdominals,abdominals,unknown,cable,cardio,unknown,unknown,gym_exercises
ex_10b0a1af88,Kneeling cable oblique crunch,abdominals,abdominals,unknown,cable,cardio,unknown,unknown,gym_exercises
ex_52d90505cc,Knees tucked crunch,abdominals,abdominals,unknown,bodyweight,cardio,unknown,unknown,gym_exercises
ex_34ce00fe40,Landmine twist,abdominals,abdominals,unknown,other,strength,unknown,unknown,gym_exercises
ex_759c175a4f,Mountain climber,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_73f2638f64,Otis-Up,abdominals,abdominals,unknown,other,strength,unknown,unknown,gym_exercises
ex_ac8bb10eee,Pallof press,abdominals,abdominals,unknown,other,strength,unknown,unknown,gym_exercises
ex_6dad9fbf79,Plate Twist,abdominals,abdominals,unknown,other,strength,unknown,unknown,gym_exercises
ex_47389e7a0b,Reverse crunch,abdominals,abdominals,unknown,bodyweight,cardio,unknown,unknown,gym_exercises
ex_2f2978f23d,Rope Crunch,abdominals,abdominals,unknown,cable,cardio,unknown,unknown,gym_exercises
ex_246434fdce,Russian twist,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_1257db97af,Seated Flat Bench Leg Pull-In,abdominals,abdominals,unknown,weight bench,strength,unknown,unknown,gym_exercises
ex_f9b4d632b4,Single-arm high-cable side bend,abdominals,abdominals,unknown,cable,strength,unknown,unknown,gym_exercises
ex_fae35aad44,Sledgehammer swing,abdominals,abdominals,unknown,other,strength,unknown,unknown,gym_exercises
ex_8b790d798a,Spider crawl,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_2a87708a39,Standing cable crunch,abdominals,abdominals,unknown,cable,cardio,unknown,unknown,gym_exercises
ex_0781ec480a,Standing cable low-to-high twist,abdominals,abdominals,unknown,cable,strength,unknown,unknown,gym_exercises
ex_c517c186f5,Stomach Vacuum,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_172b9408a7,Suspended ab fall-out,abdominals,abdominals,unknown,other,strength,unknown,unknown,gym_exercises
ex_306ead4dec,V-up,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_5a01fac9ef,Weighted Crunches,abdominals,abdominals,unknown,other,cardio,unknown,unknown,gym_exercises
ex_a7fb75f9d9,Clam,abductors,abductors,unknown,unknown,strength,unknown,unknown,gym_exercises
ex_ee46d58623,Hip Circles (Prone),abductors,abductors,unknown,unknown,strength,unknown,unknown,gym_exercises
ex_e44d1c2501,Standing Hip Circles,abductors,abductors,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_1e1782e578,Band Hip Adductions,adductors,adductors,unknown,bands,strength,unknown,unknown,gym_exercises
ex_7adee49dd4,Groiners,adductors,adductors,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_04a3846922,Thigh adductor,adductors,adductors,unknown,machine,strength,unknown,unknown,gym_exercises
ex_80c49b06da,alternate lateral pulldown,back,lats,"biceps, rhomboids",cable,strength,unknown,"Sit on the cable machine with your back straight and feet flat on the ground. Grasp the handles with an overhand grip, slightly wider than shoulder-width apart. Lean back slightly and pull the handles towards your chest, squeezing your shoulder blades together. Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_85bb3a56e0,archer pull up,back,lats,"biceps, forearms",bodyweight,strength,unknown,"Start by hanging from a pull-up bar with an overhand grip, slightly wider than shoulder-width apart. Engage your core and pull your shoulder blades down and back. As you pull yourself up, bend one arm and bring your elbow towards your side, while keeping the other arm straight. Continue pulling until your chin is above the bar and your bent arm is fully flexed. Lower yourself back down with control, straightening the bent arm and repeating the movement on the other side. Alternate sides with each repetition.",fitness_exercises
ex_37bfe7d24b,assisted parallel close grip pull-up,back,lats,"biceps, forearms",leverage machine,strength,unknown,"Adjust the machine to your desired weight and height. Place your hands on the parallel bars with a close grip, palms facing each other. Hang from the bars with your arms fully extended and your feet off the ground. Engage your back muscles and pull your body up towards the bars, keeping your elbows close to your body. Continue pulling until your chin is above the bars. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_40a8636551,assisted pull-up,back,lats,"biceps, forearms",leverage machine,strength,unknown,"Adjust the machine to your desired weight and height settings. Grasp the handles with an overhand grip, slightly wider than shoulder-width apart. Hang with your arms fully extended and your feet off the ground. Engage your back muscles and pull your body up towards the handles, keeping your elbows close to your body. Continue pulling until your chin is above the handles. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_f5df251ddb,assisted standing chin-up,back,lats,"biceps, forearms",leverage machine,strength,unknown,"Adjust the machine to your desired assistance level. Stand on the foot platform and grip the handles with an overhand grip, slightly wider than shoulder-width apart. Keep your chest up and shoulders back, engage your core, and slightly bend your knees. Pull your body up by flexing your elbows and driving your elbows down towards your sides. Continue pulling until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_4e8c89ab42,assisted standing pull-up,back,lats,"biceps, forearms",leverage machine,strength,unknown,"Adjust the machine to your desired weight and height settings. Stand facing the machine with your feet shoulder-width apart. Grasp the handles with an overhand grip, slightly wider than shoulder-width apart. Engage your lats and biceps, and pull yourself up towards the handles. Pause for a moment at the top, squeezing your back muscles. Slowly lower yourself back down to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_003c3391c9,back pec stretch,back,lats,"shoulders, chest",bodyweight,mobility,unknown,"Stand tall with your feet shoulder-width apart. Extend your arms straight out in front of you, parallel to the ground. Cross your arms in front of your body, with your right arm over your left arm. Interlock your fingers and rotate your palms away from your body. Slowly raise your arms up and away from your body, feeling a stretch in your back and chest. Hold the stretch for 15-30 seconds, then release. Repeat on the opposite side.",fitness_exercises
ex_847de58cba,band assisted pull-up,back,lats,"biceps, forearms",band,strength,unknown,"Attach the band to a pull-up bar or sturdy anchor point. Step onto the band and grip the bar with your palms facing away from you, hands slightly wider than shoulder-width apart. Hang with your arms fully extended, keeping your core engaged and your shoulders down and back. Pull your body up towards the bar by squeezing your shoulder blades together and driving your elbows down towards your hips. Continue pulling until your chin is above the bar, then slowly lower yourself back down to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_97d5625968,band close-grip pulldown,back,lats,"biceps, forearms",band,strength,unknown,"Attach the band to a high anchor point, such as a pull-up bar or sturdy beam. Stand facing the anchor point and grab the band with an underhand grip, hands shoulder-width apart. Step back to create tension in the band, keeping your feet hip-width apart. Engage your core and keep your back straight as you pull the band down towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the band back to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_55ec44ff8d,band fixed back close grip pulldown,back,lats,"biceps, forearms",band,strength,unknown,"Attach the band to a fixed point above you, such as a pull-up bar or sturdy beam. Sit down on a bench or chair facing the band, with your feet flat on the ground and your knees bent. Grasp the band with a close grip, palms facing towards you. Keep your back straight and engage your core. Pull the band down towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, feeling the contraction in your lats. Slowly release the band back to the starting position, maintaining control throughout the movement. Repeat for the desired number of repetitions.",fitness_exercises
ex_eb75e97308,band fixed back underhand pulldown,back,lats,"biceps, rhomboids, rear deltoids",band,strength,unknown,"Attach the band to a sturdy anchor point above your head. Stand facing the anchor point with your feet shoulder-width apart. Grasp the band with an underhand grip, hands slightly wider than shoulder-width apart. Step back to create tension in the band, keeping your arms fully extended. Engage your core and squeeze your shoulder blades together. Pull the band down towards your chest, leading with your elbows. Pause for a moment at the bottom of the movement, feeling the contraction in your lats. Slowly release the tension in the band and return to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_4716d9150e,band kneeling one arm pulldown,back,lats,"biceps, rhomboids",band,strength,unknown,"Attach the band to a sturdy anchor point above your head. Kneel down and hold the band with one hand, palm facing down. Extend your arm fully overhead, keeping your elbow slightly bent. Engage your lat muscles and pull the band down towards your side, bringing your elbow towards your ribcage. Pause for a moment at the bottom, then slowly release the tension and return to the starting position. Repeat for the desired number of repetitions, then switch sides.",fitness_exercises
ex_3a244df076,band underhand pulldown,back,lats,"biceps, forearms",band,strength,unknown,"Attach the band to a high anchor point, such as a pull-up bar or sturdy beam. Stand facing the anchor point with your feet shoulder-width apart. Grasp the band with an underhand grip, hands slightly wider than shoulder-width apart. Extend your arms fully overhead, keeping your elbows slightly bent. Engage your lats and pull the band down towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the tension and return to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_23a385fdeb,barbell bent arm pullover,back,lats,"triceps, chest",barbell,strength,unknown,"Lie flat on a bench with your head at one end and your feet on the floor. Hold a barbell with a shoulder-width grip and extend your arms straight above your chest. Lower the barbell behind your head while keeping your arms slightly bent. Pause for a moment, then raise the barbell back to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_e7c87dc49e,barbell decline bent arm pullover,back,lats,"triceps, chest",barbell,strength,unknown,"Lie down on a decline bench with your head lower than your hips and your feet secured. Hold a barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest. Lower the barbell behind your head in a controlled manner, keeping your arms slightly bent. Pause for a moment, then raise the barbell back to the starting position by contracting your lats. Repeat for the desired number of repetitions.",fitness_exercises
ex_465db1cebe,barbell decline wide-grip pullover,back,lats,"triceps, chest",barbell,strength,unknown,"Lie on a decline bench with your head lower than your hips and your feet secured. Hold a barbell with a wide grip and extend your arms straight above your chest. Lower the barbell behind your head in a controlled manner, keeping your arms straight. Pause for a moment, then raise the barbell back to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_2be8f0f491,barbell pullover,back,lats,"chest, triceps",barbell,strength,unknown,"Lie flat on a bench with your head at one end and your feet on the floor. Hold a barbell with a shoulder-width grip and extend your arms straight above your chest. Keeping your arms straight, lower the barbell behind your head in a controlled manner until you feel a stretch in your lats. Pause for a moment, then raise the barbell back to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_d427665e2c,barbell pullover to press,back,lats,"triceps, chest, shoulders",barbell,strength,unknown,"Lie flat on a bench with your head at one end and your feet on the ground. Hold the barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest. Keeping your arms straight, lower the barbell behind your head in an arc-like motion until you feel a stretch in your lats. Pause for a moment, then reverse the motion and press the barbell back to the starting position above your chest. Repeat for the desired number of repetitions.",fitness_exercises
ex_8540b3ae63,bench pull-ups,back,lats,"biceps, forearms",bodyweight,strength,unknown,"Position yourself under a bar or a sturdy horizontal surface that is at chest height. Grab the bar or surface with an overhand grip, slightly wider than shoulder-width apart. Hang with your arms fully extended and your body straight. Pull your chest towards the bar or surface by squeezing your shoulder blades together and bending your elbows. Continue pulling until your chin is above the bar or surface. Lower yourself back down to the starting position with control. Repeat for the desired number of repetitions.",fitness_exercises
ex_5e05139bde,cable bar lateral pulldown,back,lats,"biceps, rhomboids, rear deltoids",cable,strength,unknown,"Adjust the cable pulley to a high position and attach a straight bar. Sit facing the cable machine with your feet flat on the ground and your knees slightly bent. Grasp the bar with an overhand grip, slightly wider than shoulder-width apart. Lean back slightly and keep your chest up, maintaining a slight arch in your lower back. Pull the bar down towards your chest, leading with your elbows and squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly return the bar to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_b16101c979,cable cross-over lateral pulldown,back,lats,"biceps, rhomboids, rear deltoids",cable,strength,unknown,"Attach a cable handle to each side of a cable machine at shoulder height. Stand in the middle of the machine with your feet shoulder-width apart. Grasp the handles with an overhand grip and step back to create tension in the cables. Lean forward slightly from the hips, keeping your back straight and your chest up. Pull the handles down and across your body, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly return to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_ab2d898167,cable incline pushdown,back,lats,"triceps, shoulders",cable,strength,unknown,"Attach a straight bar to a high pulley cable machine. Stand facing away from the machine with your feet shoulder-width apart. Grasp the bar with an overhand grip, hands slightly wider than shoulder-width apart. Lean forward slightly and keep your back straight. Pull the bar down towards your thighs by extending your elbows. Pause for a moment at the bottom, then slowly return the bar to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_4ec86ae654,cable lat pulldown full range of motion,back,lats,"biceps, rhomboids, rear deltoids",cable,strength,unknown,"Sit on the lat pulldown machine with your knees positioned under the pads. Grasp the cable bar with an overhand grip, slightly wider than shoulder-width apart. Lean back slightly and keep your chest up, maintaining a slight arch in your lower back. Pull the bar down towards your upper chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the bar back to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_25264a564c,cable lateral pulldown (with rope attachment),back,lats,"biceps, forearms",cable,cardio,unknown,"Attach a rope attachment to the cable machine at a high position. Stand facing the machine with your feet shoulder-width apart. Grasp the rope with an overhand grip, palms facing each other. Keep your back straight and lean slightly back. Pull the rope down towards your sides, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement. Slowly release the tension and allow the rope to return to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_a8b44aa496,cable lateral pulldown with v-bar,back,lats,"biceps, forearms",cable,strength,unknown,Sit down on the cable pulldown machine and grab the v-bar attachment with an overhand grip. Adjust the knee pad so that your thighs are secured under it. Keep your back straight and lean back slightly. Pull the v-bar down towards your upper chest while keeping your elbows close to your body. Squeeze your back muscles at the bottom of the movement. Slowly return the v-bar to the starting position and repeat for the desired number of repetitions.,fitness_exercises
ex_7a4e8e1f11,cable lying extension pullover (with rope attachment),back,lats,"triceps, shoulders",cable,cardio,unknown,"Attach a rope to a cable machine and set the pulley at the highest position. Lie down on a bench with your head towards the cable machine. Hold the rope with both hands and extend your arms straight up above your chest. Keeping your arms straight, slowly lower the rope behind your head while maintaining control. Pause for a moment at the bottom, then slowly raise the rope back to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_0eb9ca5fb6,cable one arm pulldown,back,lats,"biceps, forearms",cable,strength,unknown,"Attach a single handle to a high pulley cable machine. Stand facing the machine with your feet shoulder-width apart. Grasp the handle with an overhand grip and extend your arm fully. Keep your back straight and your core engaged. Pull the handle down towards your side while keeping your elbow close to your body. Pause for a moment at the bottom of the movement, squeezing your lat muscle. Slowly release the handle back to the starting position. Repeat for the desired number of repetitions. Switch sides and repeat the exercise with the other arm.",fitness_exercises
ex_e5d69aac37,cable pulldown,back,lats,"biceps, forearms",cable,strength,unknown,"Adjust the cable pulldown machine so that the seat is at a comfortable height and the knee pad is secured. Sit on the seat with your back straight and your feet flat on the ground. Grasp the cable bar with an overhand grip, slightly wider than shoulder-width apart. Lean back slightly and engage your core. Pull the cable bar down towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the bar back to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_23bb2adb08,cable pulldown (pro lat bar),back,lats,"biceps, forearms",cable,strength,unknown,"Adjust the seat height so that your thighs are parallel to the ground and your feet are flat on the floor. Grasp the lat bar with an overhand grip, slightly wider than shoulder-width apart. Sit down and lean back slightly, keeping your chest up and your back straight. Pull the bar down towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the bar back up to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_e9397b3ba6,cable pushdown (straight arm) v. 2,back,lats,"triceps, shoulders",cable,strength,unknown,"Attach a straight bar to a high pulley cable machine. Stand facing the machine with your feet shoulder-width apart and a slight bend in your knees. Grasp the bar with an overhand grip, keeping your arms straight and your palms facing down. Engage your core and keep your back straight as you exhale and push the bar down towards your thighs. Pause for a moment at the bottom, then slowly return the bar to the starting position while inhaling. Repeat for the desired number of repetitions.",fitness_exercises
ex_b721bbdd03,cable rear pulldown,back,lats,"biceps, rhomboids, rear deltoids",cable,strength,unknown,"Adjust the cable machine so that the pulley is at the highest position. Sit facing the machine with your feet flat on the ground and your knees slightly bent. Grasp the cable attachment with an overhand grip, hands slightly wider than shoulder-width apart. Lean back slightly, keeping your back straight and your chest up. Pull the cable attachment down towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the cable back up to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_bbf65336f3,cable seated high row (v-bar),back,lats,"biceps, rhomboids, rear deltoids",cable,strength,unknown,"Sit on the cable machine with your feet flat on the floor and your knees slightly bent. Grasp the v-bar attachment with an overhand grip, palms facing each other, and your hands shoulder-width apart. Keep your back straight and lean slightly forward from the hips. Pull the v-bar towards your torso by retracting your shoulder blades and squeezing your back muscles. Pause for a moment at the peak of the contraction, then slowly release the tension and return to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_944b23a0ff,cable squat row (with rope attachment),back,lats,"biceps, rhomboids, rear deltoids",cable,cardio,unknown,"Attach a rope to a cable machine at waist height. Stand facing the cable machine with your feet shoulder-width apart. Bend your knees and lower your body into a squat position, keeping your back straight and chest up. Grasp the rope with an overhand grip, with your hands shoulder-width apart. Engage your core and pull the rope towards your body, squeezing your shoulder blades together. Keep your elbows close to your body and continue pulling until your hands reach your chest. Pause for a moment at the top of the movement, then slowly release the rope and extend your arms back to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_5c71119d5f,cable straight arm pulldown,back,lats,"shoulders, biceps",cable,strength,unknown,"Attach a straight bar to the high pulley of a cable machine. Stand facing the machine with your feet shoulder-width apart. Grasp the bar with an overhand grip, keeping your arms straight and your palms facing down. Engage your lats and pull the bar down towards your thighs, keeping your arms straight throughout the movement. Pause for a moment at the bottom, then slowly return the bar to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_d1d5e344e5,cable straight arm pulldown (with rope),back,lats,"biceps, forearms",cable,cardio,unknown,"Attach a rope to the cable machine at the highest setting. Stand facing the machine with your feet shoulder-width apart. Grasp the rope with both hands, palms facing down. Extend your arms fully in front of you, keeping your elbows slightly bent. Engage your lats and slowly pull the rope down towards your thighs, keeping your arms straight. Pause for a moment at the bottom, then slowly release the tension and return to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_aa15ff3048,cable thibaudeau kayak row,back,lats,"biceps, rhomboids, rear deltoids",cable,strength,unknown,"Attach a cable handle to a low pulley and sit facing the machine with your feet flat on the floor. Grasp the handle with your right hand and extend your arm fully, keeping a slight bend in your elbow. Lean forward from your hips, keeping your back straight and your abs engaged. Pull the handle towards your torso by retracting your shoulder blade and bending your elbow, keeping your arm close to your body. Squeeze your back muscles at the top of the movement, then slowly return to the starting position. Repeat for the desired number of repetitions, then switch sides and perform with your left arm.",fitness_exercises
ex_43e5c52315,cable twisting pull,back,lats,"shoulders, biceps",cable,strength,unknown,"Attach a cable handle to a low pulley and stand facing the machine. Grasp the handle with your left hand and step away from the machine, extending your arm fully. Position your feet shoulder-width apart, with your knees slightly bent. Keep your back straight and your core engaged throughout the exercise. Pull the handle towards your body, rotating your torso to the right as you do so. Squeeze your back muscles at the end of the movement. Slowly return to the starting position, keeping tension on the cable. Repeat for the desired number of repetitions, then switch sides and perform with your right hand.",fitness_exercises
ex_a72f89b144,cable underhand pulldown,back,lats,"biceps, forearms",cable,strength,unknown,"Adjust the cable machine so that the pulldown bar is at a height above your head. Sit down on the seat and grab the pulldown bar with an underhand grip, hands slightly wider than shoulder-width apart. Keep your back straight and lean back slightly. Pull the bar down towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the bar back up to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_63a6f00214,cable wide grip rear pulldown behind neck,back,lats,"biceps, rhomboids, rear deltoids",cable,strength,unknown,"Adjust the cable machine so that the pulldown bar is at a height above your head. Sit down on the seat and grab the pulldown bar with a wide overhand grip. Keep your back straight and your chest up as you lean back slightly. Pull the bar down towards your upper chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the bar back up to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_2495aa16d3,chin-up,back,lats,"biceps, forearms",bodyweight,strength,unknown,"Hang from a pull-up bar with your palms facing towards you and your hands shoulder-width apart. Engage your core and pull your body up towards the bar, leading with your chest. Continue pulling until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_9819f7d018,close grip chin-up,back,lats,"biceps, forearms",bodyweight,strength,unknown,"Grab the pull-up bar with your palms facing towards you and your hands shoulder-width apart. Hang from the bar with your arms fully extended and your feet off the ground. Engage your back muscles and pull your body up towards the bar, keeping your elbows close to your body. Continue pulling until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_a0d353b374,exercise ball alternating arm ups,back,lats,"shoulders, core",stability ball,strength,unknown,"Sit on the stability ball with your feet flat on the ground and your back straight. Hold a dumbbell in each hand with your palms facing inwards and your arms extended down by your sides. Engage your core and slowly lift one arm up towards your shoulder, keeping your elbow slightly bent. Pause for a moment at the top, then slowly lower your arm back down to the starting position. Repeat the movement with the other arm. Continue alternating arms for the desired number of repetitions.",fitness_exercises
ex_5ae229aaab,exercise ball lat stretch,back,lats,"shoulders, triceps",stability ball,mobility,unknown,"Sit on a stability ball with your feet flat on the ground and your back straight. Hold a dumbbell in one hand and extend your arm straight up overhead. Slowly lean to the opposite side, feeling a stretch in your lat muscle. Hold the stretch for 20-30 seconds, then return to the starting position. Repeat on the other side.",fitness_exercises
ex_936353354b,exercise ball lower back stretch (pyramid),back,lats,"glutes, hamstrings",stability ball,mobility,unknown,"Sit on the stability ball with your feet flat on the ground and your knees bent at a 90-degree angle. Slowly walk your feet forward, rolling the ball down your back until your lower back is resting on the ball. Place your hands behind your head or cross them over your chest. Engage your core and slowly lower your upper body towards the ground, allowing your lower back to stretch over the ball. Hold the stretch for a few seconds, then slowly return to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_7a9b3e3114,exercise ball lying side lat stretch,back,lats,"shoulders, triceps",stability ball,mobility,unknown,"Lie on your side with your legs extended and your head supported by the stability ball. Place your top arm on the ball for stability. Reach your top arm overhead and allow your torso to rotate slightly. Feel the stretch in your lat muscles on the side of your body. Hold the stretch for 20-30 seconds, then switch sides and repeat.",fitness_exercises
ex_8f3254686e,ez bar lying bent arms pullover,back,lats,"triceps, chest",ez barbell,strength,unknown,"Lie flat on a bench with your head at one end and your feet on the floor. Hold the EZ barbell with a pronated grip (palms facing away from you) and your hands shoulder-width apart. Extend your arms straight above your chest, keeping a slight bend in your elbows. Lower the barbell in an arc motion behind your head, maintaining the slight bend in your elbows. Pause for a moment, then return the barbell to the starting position by reversing the arc motion. Repeat for the desired number of repetitions.",fitness_exercises
ex_8dabfcb3e2,gironda sternum chin,back,lats,"biceps, rhomboids, rear deltoids",bodyweight,strength,unknown,"Stand facing a high bar with your feet shoulder-width apart. Reach up and grab the bar with an overhand grip, slightly wider than shoulder-width apart. Hang from the bar with your arms fully extended and your body straight. Engage your lats and biceps to pull your chest up towards the bar, leading with your sternum. Pause for a moment at the top, then slowly lower yourself back down to the starting position. Repeat for the desired number of repetitions.",fitness_exercises
ex_7bedbc89e3,kipping muscle up,back,lats,"biceps, triceps, shoulders, core",bodyweight,strength,unknown,"Start by hanging from a pull-up bar with an overhand grip, hands slightly wider than shoulder-width apart. Engage your core and use a swinging motion to generate momentum. As you swing forward, pull your chest towards the bar, using your lats and biceps to initiate the movement. Continue the upward motion until your chest reaches the bar, then transition into a dip position by pushing down on the bar and extending your arms. Lower yourself back down to the starting position by bending your arms and controlling the descent. Repeat for the desired number of repetitions.",fitness_exercises
